Team,Season,MeanEntropy,League
Sevilla FC,2009/2010,0.968811500919,Spain LIGA BBVA
Real Sociedad,2011/2012,0.984205058571,Spain LIGA BBVA
Real Sociedad,2013/2014,0.987150734748,Spain LIGA BBVA
Real Sociedad,2015/2016,1.00677390057,Spain LIGA BBVA
Real Sociedad,2012/2013,1.00461535114,Spain LIGA BBVA
Real Sociedad,2010/2011,1.01091629213,Spain LIGA BBVA
Real Sociedad,2014/2015,0.992980730684,Spain LIGA BBVA
Getafe CF,2011/2012,0.993421337189,Spain LIGA BBVA
Getafe CF,2013/2014,0.982460291749,Spain LIGA BBVA
Getafe CF,2015/2016,0.975731197148,Spain LIGA BBVA
Getafe CF,2012/2013,1.00263773384,Spain LIGA BBVA
Getafe CF,2008/2009,1.03435489867,Spain LIGA BBVA
Getafe CF,2010/2011,1.01009888703,Spain LIGA BBVA
Getafe CF,2014/2015,0.980480079761,Spain LIGA BBVA
Getafe CF,2009/2010,1.02039583092,Spain LIGA BBVA
Atlético Madrid,2011/2012,0.981492948649,Spain LIGA BBVA
Atlético Madrid,2013/2014,0.853399235845,Spain LIGA BBVA
Atlético Madrid,2015/2016,0.892907006387,Spain LIGA BBVA
Atlético Madrid,2012/2013,0.959694988207,Spain LIGA BBVA
Atlético Madrid,2008/2009,1.00997019426,Spain LIGA BBVA
Atlético Madrid,2010/2011,0.998765579799,Spain LIGA BBVA
Atlético Madrid,2014/2015,0.892508256442,Spain LIGA BBVA
Atlético Madrid,2009/2010,1.00848945791,Spain LIGA BBVA
CA Osasuna,2011/2012,0.99790966457,Spain LIGA BBVA
CA Osasuna,2013/2014,0.962575921905,Spain LIGA BBVA
CA Osasuna,2012/2013,1.00209749575,Spain LIGA BBVA
CA Osasuna,2008/2009,1.03637468447,Spain LIGA BBVA
CA Osasuna,2010/2011,1.00776106494,Spain LIGA BBVA
CA Osasuna,2009/2010,1.01869613148,Spain LIGA BBVA
SD Eibar,2015/2016,0.990169231075,Spain LIGA BBVA
SD Eibar,2014/2015,0.95162918086,Spain LIGA BBVA
RC Celta de Vigo,2013/2014,0.991900084794,Spain LIGA BBVA
RC Celta de Vigo,2014/2015,0.98902095462,Spain LIGA BBVA
RC Celta de Vigo,2015/2016,0.997944588888,Spain LIGA BBVA
RC Celta de Vigo,2012/2013,0.998680811417,Spain LIGA BBVA
RC Deportivo de La Coruña,2015/2016,0.989736710341,Spain LIGA BBVA
RC Deportivo de La Coruña,2012/2013,0.999643701718,Spain LIGA BBVA
RC Deportivo de La Coruña,2008/2009,1.04238877979,Spain LIGA BBVA
RC Deportivo de La Coruña,2010/2011,1.01261263357,Spain LIGA BBVA
RC Deportivo de La Coruña,2014/2015,0.975343389239,Spain LIGA BBVA
RC Deportivo de La Coruña,2009/2010,1.02318838789,Spain LIGA BBVA
Racing Santander,2011/2012,0.957601055643,Spain LIGA BBVA
Racing Santander,2010/2011,0.996361809425,Spain LIGA BBVA
Racing Santander,2009/2010,1.0097774329,Spain LIGA BBVA
Racing Santander,2008/2009,1.03476802706,Spain LIGA BBVA
Real Madrid CF,2011/2012,0.689846794498,Spain LIGA BBVA
Real Madrid CF,2013/2014,0.715362140307,Spain LIGA BBVA
Real Madrid CF,2015/2016,0.733983016283,Spain LIGA BBVA
