pc1,pc2,name,rating
-147966.111961,209.63400065,Rui Patricio,81
-146224.118515,-76.1426015026,Sami Khedira,81
-110880.116492,-68.6004616693,Seamus Coleman,81
6728.88306973,-72.470923323,Serge Aurier,81
-91947.1120616,200.051652749,Sergio Asenjo,81
-95090.1142619,-58.9604963808,Sofiane Feghouli,81
-15.1154165883,-8.68828172926,Stefan de Vrij,81
-9615.11519565,11.7306450505,Stefan Savic,81
-157952.119536,-89.0241830239,Steven Gerrard,81
-157557.11466,-66.8130008584,Theo Walcott,81
24244.8873772,208.256685099,Timo Horn,81
-77333.1189945,-70.7788024291,Vicente Iborra,81
-155913.111437,214.078747831,Victor Valdes,81
-163030.113795,185.355917731,Vincent Enyeama,81
25234.8847171,-52.3105038498,Vitolo,81
69294.8819675,-53.7736397431,William Carvalho,81
